
"Observed suspended solids" {"Henares"} :
2016-4-13 to 2016-4-23 9.5
#2016-7-13 to 2016-7-23 68.8     #NOTE: Peak too unlikely, and throws off the fit.
2016-11-21 to 2016-12-1 6.74

"Observed suspended solids" {"Badiel"} :
2016-4-11 to 2016-4-22 25.4
#2016-7-11 to 2016-7-22 264.4
2016-11-22 to 2016-12-2 39.3

"Observed suspended solids" {"Sorbe"} :
2016-4-11 to 2016-4-22 6.7
2016-7-11 to 2016-7-22 0.4
2016-11-22 to 2016-12-2 0.4
